curve_type,base_ccy,quote_ccy,obs_date,spot
Exchange,JPY,USD,2005-01-03,0.009563429445799264
Exchange,JPY,USD,2005-01-04,0.009602458229306703
Exchange,JPY,USD,2005-01-05,0.009522449173927534
Exchange,JPY,USD,2005-01-06,0.009545628102329133
Exchange,JPY,USD,2005-01-08,0.009541984732824428
Exchange,JPY,USD,2005-01-09,0.009583133684714902
Exchange,JPY,USD,2005-01-10,0.009676795045480937
Exchange,JPY,USD,2005-01-11,0.009761811792268645
Exchange,JPY,USD,2005-01-12,0.009767151117362087
Exchange,JPY,USD,2005-01-13,0.009800078400627205
Exchange,JPY,USD,2005-01-14,0.009801038910124474
Exchange,JPY,USD,2005-01-15,0.00980392156862745
Exchange,JPY,USD,2005-01-16,0.009792017547295445
Exchange,JPY,USD,2005-01-17,0.009778994719342852
Exchange,JPY,USD,2005-01-18,0.009731413001167769
Exchange,JPY,USD,2005-01-19,0.009669309611293753
Exchange,JPY,USD,2005-01-20,0.009735202492211837
Exchange,JPY,USD,2005-01-21,0.009735202492211837
Exchange,JPY,USD,2005-01-22,0.00972951936174353
Exchange,JPY,USD,2005-01-23,0.009742600494924106
Exchange,JPY,USD,2005-01-24,0.009608363119259004
Exchange,JPY,USD,2005-01-25,0.00970139117949514
Exchange,JPY,USD,2005-01-26,0.00973785689245511
Exchange,JPY,USD,2005-01-27,0.009682416731216111
Exchange,JPY,USD,2005-01-28,0.009682416731216111
Exchange,JPY,USD,2005-01-29,0.009654373431164317
Exchange,JPY,USD,2005-01-30,0.009644317568088881
Exchange,JPY,USD,2005-01-31,0.009645061728395061
Exchange,JPY,USD,2005-02-01,0.009653068710543082
Exchange,JPY,USD,2005-02-02,0.009570843382718885
Exchange,JPY,USD,2005-02-03,0.009607070804111826
Exchange,JPY,USD,2005-02-04,0.009561143512764126
Exchange,JPY,USD,2005-02-05,0.009581297307655456
Exchange,JPY,USD,2005-02-06,0.009537070593396533
Exchange,JPY,USD,2005-02-07,0.00944822373393802
Exchange,JPY,USD,2005-02-08,0.009468083091897214
Exchange,JPY,USD,2005-02-09,0.009449116507606539
Exchange,JPY,USD,2005-02-10,0.009458948164964056
Exchange,JPY,USD,2005-02-11,0.009458948164964056
Exchange,JPY,USD,2005-02-12,0.009483167377904219
Exchange,JPY,USD,2005-02-13,0.00951655881233346
Exchange,JPY,USD,2005-02-14,0.009576892872876323
Exchange,JPY,USD,2005-02-15,0.00948676596148373
Exchange,JPY,USD,2005-02-16,0.009475080538184574
Exchange,JPY,USD,2005-02-17,0.00946521533364884
Exchange,JPY,USD,2005-02-19,0.009459842966606754
Exchange,JPY,USD,2005-02-20,0.009472567444680207
Exchange,JPY,USD,2005-02-21,0.009611503046846466
Exchange,JPY,USD,2005-02-22,0.009540710210468067
Exchange,JPY,USD,2005-02-23,0.009488746346832656
Exchange,JPY,USD,2005-02-24,0.009503264371311545
Exchange,JPY,USD,2005-02-26,0.009500555782513277
Exchange,JPY,USD,2005-02-27,0.009557853688375738
Exchange,JPY,USD,2005-02-28,0.009579736940423616
Exchange,JPY,USD,2005-03-01,0.009545992592309748
Exchange,JPY,USD,2005-03-02,0.009498480243161094
Exchange,JPY,USD,2005-03-03,0.009542622121706602
Exchange,JPY,USD,2005-03-05,0.009545628102329133
Exchange,JPY,USD,2005-03-06,0.009507691722603587
Exchange,JPY,USD,2005-03-07,0.009553288241812832
Exchange,JPY,USD,2005-03-08,0.009621120283245781
Exchange,JPY,USD,2005-03-09,0.009603380389897245
Exchange,JPY,USD,2005-03-10,0.009615384615384616
Exchange,JPY,USD,2005-03-11,0.009616309260505818
Exchange,JPY,USD,2005-03-12,0.00963020030816641
Exchange,JPY,USD,2005-03-13,0.009537798294641665
Exchange,JPY,USD,2005-03-14,0.009563520905856701
Exchange,JPY,USD,2005-03-15,0.009600614439324117
Exchange,JPY,USD,2005-03-16,0.009566997684786561
Exchange,JPY,USD,2005-03-17,0.009547450830628223
Exchange,JPY,USD,2005-03-19,0.00954653937947494
Exchange,JPY,USD,2005-03-20,0.009505522708693752
Exchange,JPY,USD,2005-03-21,0.009468083091897214
Exchange,JPY,USD,2005-03-22,0.009438414346389807
Exchange,JPY,USD,2005-03-23,0.009404152873909118
Exchange,JPY,USD,2005-03-24,0.009399821403393335
Exchange,JPY,USD,2005-03-26,0.009403799134850479
Exchange,JPY,USD,2005-03-27,0.009329750709061054
Exchange,JPY,USD,2005-03-28,0.009294716882923746
Exchange,JPY,USD,2005-03-29,0.009298173838658087
Exchange,JPY,USD,2005-03-30,0.009333582228859437
Exchange,JPY,USD,2005-03-31,0.009298000929800094
Exchange,JPY,USD,2005-04-02,0.009290658243136525
Exchange,JPY,USD,2005-04-03,0.009234292468511063
Exchange,JPY,USD,2005-04-04,0.009244878337401079
Exchange,JPY,USD,2005-04-05,0.009202171712524156
Exchange,JPY,USD,2005-04-06,0.009206407659731172
Exchange,JPY,USD,2005-04-07,0.009237363287023351
Exchange,JPY,USD,2005-04-08,0.009237363287023351
Exchange,JPY,USD,2005-04-09,0.009236936662325307
Exchange,JPY,USD,2005-04-10,0.009270761871210577
Exchange,JPY,USD,2005-04-11,0.009279536765524666
Exchange,JPY,USD,2005-04-12,0.009315497261243805
Exchange,JPY,USD,2005-04-13,0.009244365559191671
Exchange,JPY,USD,2005-04-14,0.009275577404693442
Exchange,JPY,USD,2005-04-16,0.00929022668153103
Exchange,JPY,USD,2005-04-17,0.00930336409645728
Exchange,JPY,USD,2005-04-18,0.009369085764611089
Exchange,JPY,USD,2005-04-19,0.009356287425149701
Exchange,JPY,USD,2005-04-20,0.009348415443582312
Exchange,JPY,USD,2005-04-21,0.009433962264150943
Exchange,JPY,USD,2005-04-22,0.009433072351664937
Exchange,JPY,USD,2005-04-23,0.009495323553150074
Exchange,JPY,USD,2005-04-24,0.009463423866754991
Exchange,JPY,USD,2005-04-25,0.009433072351664937
Exchange,JPY,USD,2005-04-26,0.009445546424860677
Exchange,JPY,USD,2005-04-27,0.009423294383716547
Exchange,JPY,USD,2005-04-28,0.009547450830628223
Exchange,JPY,USD,2005-04-29,0.009547450830628223
Exchange,JPY,USD,2005-04-30,0.009522902580706599
Exchange,JPY,USD,2005-05-01,0.00951927653498334
Exchange,JPY,USD,2005-05-02,0.00951655881233346
Exchange,JPY,USD,2005-05-03,0.009562057754828839
Exchange,JPY,USD,2005-05-04,0.009573042312847023
Exchange,JPY,USD,2005-05-05,0.009518370454978107
Exchange,JPY,USD,2005-05-07,0.009512485136741973
Exchange,JPY,USD,2005-05-08,0.009467186730791078
Exchange,JPY,USD,2005-05-09,0.009473285335354301
Exchange,JPY,USD,2005-05-10,0.0094553706505295
Exchange,JPY,USD,2005-05-11,0.009365400464523863
Exchange,JPY,USD,2005-05-12,0.009319664492078286
Exchange,JPY,USD,2005-05-13,0.009319664492078286
Exchange,JPY,USD,2005-05-14,0.009319664492078286
Exchange,JPY,USD,2005-05-15,0.009367330498154636
