curve_type,base_ccy,quote_ccy,obs_date,spot
Exchange,USD,JPY,2005-01-03,104.565
Exchange,USD,JPY,2005-01-04,104.14
Exchange,USD,JPY,2005-01-05,105.015
Exchange,USD,JPY,2005-01-06,104.76
Exchange,USD,JPY,2005-01-08,104.8
Exchange,USD,JPY,2005-01-09,104.35
Exchange,USD,JPY,2005-01-10,103.34
Exchange,USD,JPY,2005-01-11,102.44
Exchange,USD,JPY,2005-01-12,102.384
Exchange,USD,JPY,2005-01-13,102.04
Exchange,USD,JPY,2005-01-14,102.03
Exchange,USD,JPY,2005-01-15,102.0
Exchange,USD,JPY,2005-01-16,102.124
Exchange,USD,JPY,2005-01-17,102.26
Exchange,USD,JPY,2005-01-18,102.76
Exchange,USD,JPY,2005-01-19,103.42
Exchange,USD,JPY,2005-01-20,102.72
Exchange,USD,JPY,2005-01-21,102.72
Exchange,USD,JPY,2005-01-22,102.78
Exchange,USD,JPY,2005-01-23,102.642
Exchange,USD,JPY,2005-01-24,104.076
Exchange,USD,JPY,2005-01-25,103.078
Exchange,USD,JPY,2005-01-26,102.692
Exchange,USD,JPY,2005-01-27,103.28
Exchange,USD,JPY,2005-01-28,103.28
Exchange,USD,JPY,2005-01-29,103.58
Exchange,USD,JPY,2005-01-30,103.688
Exchange,USD,JPY,2005-01-31,103.68
Exchange,USD,JPY,2005-02-01,103.594
Exchange,USD,JPY,2005-02-02,104.484
Exchange,USD,JPY,2005-02-03,104.09
Exchange,USD,JPY,2005-02-04,104.59
Exchange,USD,JPY,2005-02-05,104.37
Exchange,USD,JPY,2005-02-06,104.854
Exchange,USD,JPY,2005-02-07,105.84
Exchange,USD,JPY,2005-02-08,105.618
Exchange,USD,JPY,2005-02-09,105.83
Exchange,USD,JPY,2005-02-10,105.72
Exchange,USD,JPY,2005-02-11,105.72
Exchange,USD,JPY,2005-02-12,105.45
Exchange,USD,JPY,2005-02-13,105.08
Exchange,USD,JPY,2005-02-14,104.418
Exchange,USD,JPY,2005-02-15,105.41
Exchange,USD,JPY,2005-02-16,105.54
Exchange,USD,JPY,2005-02-17,105.65
Exchange,USD,JPY,2005-02-19,105.71
Exchange,USD,JPY,2005-02-20,105.568
Exchange,USD,JPY,2005-02-21,104.042
Exchange,USD,JPY,2005-02-22,104.814
Exchange,USD,JPY,2005-02-23,105.388
Exchange,USD,JPY,2005-02-24,105.227
Exchange,USD,JPY,2005-02-26,105.257
Exchange,USD,JPY,2005-02-27,104.626
Exchange,USD,JPY,2005-02-28,104.387
Exchange,USD,JPY,2005-03-01,104.756
Exchange,USD,JPY,2005-03-02,105.28
Exchange,USD,JPY,2005-03-03,104.793
Exchange,USD,JPY,2005-03-05,104.76
Exchange,USD,JPY,2005-03-06,105.178
Exchange,USD,JPY,2005-03-07,104.676
Exchange,USD,JPY,2005-03-08,103.938
Exchange,USD,JPY,2005-03-09,104.13
Exchange,USD,JPY,2005-03-10,104.0
Exchange,USD,JPY,2005-03-11,103.99
Exchange,USD,JPY,2005-03-12,103.84
Exchange,USD,JPY,2005-03-13,104.846
Exchange,USD,JPY,2005-03-14,104.564
Exchange,USD,JPY,2005-03-15,104.16
Exchange,USD,JPY,2005-03-16,104.526
Exchange,USD,JPY,2005-03-17,104.74
Exchange,USD,JPY,2005-03-19,104.75
Exchange,USD,JPY,2005-03-20,105.202
Exchange,USD,JPY,2005-03-21,105.618
Exchange,USD,JPY,2005-03-22,105.95
Exchange,USD,JPY,2005-03-23,106.336
Exchange,USD,JPY,2005-03-24,106.385
Exchange,USD,JPY,2005-03-26,106.34
Exchange,USD,JPY,2005-03-27,107.184
Exchange,USD,JPY,2005-03-28,107.588
Exchange,USD,JPY,2005-03-29,107.548
Exchange,USD,JPY,2005-03-30,107.14
Exchange,USD,JPY,2005-03-31,107.55
Exchange,USD,JPY,2005-04-02,107.635
Exchange,USD,JPY,2005-04-03,108.292
Exchange,USD,JPY,2005-04-04,108.168
Exchange,USD,JPY,2005-04-05,108.67
Exchange,USD,JPY,2005-04-06,108.62
Exchange,USD,JPY,2005-04-07,108.256
Exchange,USD,JPY,2005-04-08,108.256
Exchange,USD,JPY,2005-04-09,108.261
Exchange,USD,JPY,2005-04-10,107.866
Exchange,USD,JPY,2005-04-11,107.764
Exchange,USD,JPY,2005-04-12,107.348
Exchange,USD,JPY,2005-04-13,108.174
Exchange,USD,JPY,2005-04-14,107.81
Exchange,USD,JPY,2005-04-16,107.64
Exchange,USD,JPY,2005-04-17,107.488
Exchange,USD,JPY,2005-04-18,106.734
Exchange,USD,JPY,2005-04-19,106.88
Exchange,USD,JPY,2005-04-20,106.97
Exchange,USD,JPY,2005-04-21,106.0
Exchange,USD,JPY,2005-04-22,106.01
Exchange,USD,JPY,2005-04-23,105.315
Exchange,USD,JPY,2005-04-24,105.67
Exchange,USD,JPY,2005-04-25,106.01
Exchange,USD,JPY,2005-04-26,105.87
Exchange,USD,JPY,2005-04-27,106.12
Exchange,USD,JPY,2005-04-28,104.74
Exchange,USD,JPY,2005-04-29,104.74
Exchange,USD,JPY,2005-04-30,105.01
Exchange,USD,JPY,2005-05-01,105.05
Exchange,USD,JPY,2005-05-02,105.08
Exchange,USD,JPY,2005-05-03,104.58
Exchange,USD,JPY,2005-05-04,104.46
Exchange,USD,JPY,2005-05-05,105.06
Exchange,USD,JPY,2005-05-07,105.125
Exchange,USD,JPY,2005-05-08,105.628
